Source,Target,Fraction of connected pairs in possible ones (%),Fraction of connected pairs in all pairs (%)
cortex: pop_name=='['CP']',cortex: pop_name=='['CP']',[5.71580303 0.26851993],[5.71580303 0.26851993]
cortex: pop_name=='['CS']',cortex: pop_name=='['CS']',[2.18980244 0.03722398],[2.18980244 0.03722398]
cortex: pop_name=='['CP']',cortex: pop_name=='['CS']',[0.18664083 1.68533149 0.0092955 ],[0.18664083 1.68533149 0.0092955 ]
cortex: pop_name=='['FSI']',cortex: pop_name=='['FSI']',[15.94263147  2.59654957],[15.94263147  2.59654957]
cortex: pop_name=='['LTS']',cortex: pop_name=='['LTS']',[3.64347517 0.10572478],[3.64347517 0.10572478]
cortex: pop_name=='['FSI']',cortex: pop_name=='['LTS']',[2.66153846 5.49393665 0.43710407],[2.66153846 5.49393665 0.43710407]
cortex: pop_name=='['CP']',cortex: pop_name=='['FSI']',[2.31687197 5.29320415 0.36440138],[2.31687197 5.29320415 0.36440138]
cortex: pop_name=='['CS']',cortex: pop_name=='['FSI']',[2.8600692  4.66729412 0.39595848],[2.8600692  4.66729412 0.39595848]
cortex: pop_name=='['CP']',cortex: pop_name=='['LTS']',[3.04713122 6.46638914 0.58953846],[3.04713122 6.46638914 0.58953846]
cortex: pop_name=='['CS']',cortex: pop_name=='['LTS']',[3.38975566 1.59565611 0.15858824],[3.38975566 1.59565611 0.15858824]
shell: pop_name=='['CP']',cortex: pop_name=='['CP']',3.0047224913494808,3.0047224913494808
shell: pop_name=='['CS']',cortex: pop_name=='['CS']',1.1111824682814302,1.1111824682814302
shell: pop_name=='['CP']',cortex: pop_name=='['CS']',0.1899921568627451,0.1899921568627451
shell: pop_name=='['CS']',cortex: pop_name=='['CP']',1.6808359861591695,1.6808359861591695
shell: pop_name=='['FSI']',cortex: pop_name=='['FSI']',9.290888119953863,9.290888119953863
shell: pop_name=='['LTS']',cortex: pop_name=='['LTS']',1.8864694280078895,1.8864694280078895
shell: pop_name=='['FSI']',cortex: pop_name=='['LTS']',2.638129713423831,2.638129713423831
shell: pop_name=='['LTS']',cortex: pop_name=='['FSI']',5.491463046757165,5.491463046757165
shell: pop_name=='['CP']',cortex: pop_name=='['FSI']',2.3253979238754328,2.3253979238754328
shell: pop_name=='['FSI']',cortex: pop_name=='['CP']',5.281965397923876,5.281965397923876
shell: pop_name=='['CS']',cortex: pop_name=='['FSI']',2.8610657439446365,2.8610657439446365
shell: pop_name=='['FSI']',cortex: pop_name=='['CS']',4.660991926182238,4.660991926182238
shell: pop_name=='['CP']',cortex: pop_name=='['LTS']',3.041447963800905,3.041447963800905
shell: pop_name=='['LTS']',cortex: pop_name=='['CP']',6.474775263951734,6.474775263951734
shell: pop_name=='['CS']',cortex: pop_name=='['LTS']',3.3935444947209654,3.3935444947209654
shell: pop_name=='['LTS']',cortex: pop_name=='['CS']',1.608024132730015,1.608024132730015
cortex: pop_name=='FSI'Gap,cortex: pop_name=='FSI'Gap,4.5517910344349755,2.2732179930795846
cortex: pop_name=='LTS'Gap,cortex: pop_name=='LTS'Gap,1.4398482873059144,0.7188165680473373
uncorrelated: pop_name=='['CP']',cortex: pop_name=='['CP']',2.814760767094983,2.814760767094983
uncorrelated: pop_name=='['CS']',cortex: pop_name=='['CS']',1.0595471137384114,1.0595471137384114
uncorrelated: pop_name=='['CP']',cortex: pop_name=='['CS']',0.17805901724026604,0.17805901724026604
uncorrelated: pop_name=='['CS']',cortex: pop_name=='['CP']',1.5555900119520625,1.5555900119520625
uncorrelated: pop_name=='['FSI']',cortex: pop_name=='['FSI']',8.756302521008404,8.756302521008404
uncorrelated: pop_name=='['LTS']',cortex: pop_name=='['LTS']',1.639371381306865,1.639371381306865
uncorrelated: pop_name=='['FSI']',cortex: pop_name=='['LTS']',2.408706677937447,2.408706677937447
uncorrelated: pop_name=='['LTS']',cortex: pop_name=='['FSI']',4.881298756061565,4.881298756061565
uncorrelated: pop_name=='['CP']',cortex: pop_name=='['FSI']',1.7507587008458707,1.7507587008458707
uncorrelated: pop_name=='['FSI']',cortex: pop_name=='['CP']',3.8382676147382027,3.8382676147382027
uncorrelated: pop_name=='['CS']',cortex: pop_name=='['FSI']',2.111509513195723,2.111509513195723
uncorrelated: pop_name=='['FSI']',cortex: pop_name=='['CS']',3.451906916612799,3.451906916612799
uncorrelated: pop_name=='['CP']',cortex: pop_name=='['LTS']',2.1718314616228995,2.1718314616228995
uncorrelated: pop_name=='['LTS']',cortex: pop_name=='['CP']',4.308075057980181,4.308075057980181
uncorrelated: pop_name=='['CS']',cortex: pop_name=='['LTS']',2.404004562159422,2.404004562159422
uncorrelated: pop_name=='['LTS']',cortex: pop_name=='['CS']',1.1103520978283785,1.1103520978283785
